epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,512,44.3396,0.1,0.004,
1.0,1,85,43520,27.3965,1.6,0.004,23.0071
2.0,1,170,86966,22.0189,3.0,0.004,20.9302
3.0,1,255,130412,20.8985,4.4,0.004,20.5027
4.0,1,340,173858,20.5539,5.8,0.004,20.285
5.0,1,425,217304,20.3584,7.1,0.004,20.2177
6.0,1,510,260750,20.2556,8.6,0.004,20.169
7.0,1,595,304196,20.1706,10.0,0.004,20.1486
8.0,1,680,347642,20.1034,11.3,0.004,20.0425
9.0,1,765,391088,20.05,12.9,0.004,20.0028
10.0,0,850,434534,20.0279,14.3,0.004,20.0049
11.0,1,935,477980,19.9813,15.7,0.004,19.9978
12.0,1,1020,521426,19.9443,17.2,0.004,19.9695
13.0,0,1105,564872,19.9115,18.5,0.004,19.975
14.0,1,1190,608318,19.904,19.9,0.004,19.9252
15.0,0,1275,651764,19.8773,21.6,0.004,19.9419
16.0,1,1360,695210,19.8659,23.0,0.004,19.9218
17.0,1,1445,738656,19.8122,24.4,0.004,19.9124
18.0,0,1530,782102,19.8537,25.8,0.004,19.9133
19.0,1,1615,825548,19.8233,27.2,0.004,19.9123
20.0,1,1700,868994,19.7794,28.5,0.004,19.9031
21.0,1,1785,912440,19.8085,30.1,0.004,19.8976
22.0,1,1870,955886,19.7536,31.4,0.004,19.8756
23.0,0,1955,999332,19.7836,32.9,0.004,19.8856
24.0,1,2040,1042778,19.7434,34.3,0.004,19.8607
25.0,1,2125,1086224,19.7577,35.7,0.004,19.8462
26.0,0,2210,1129670,19.7452,37.1,0.004,19.8739
27.0,0,2295,1173116,19.7318,38.4,0.004,19.8739
28.0,0,2380,1216562,19.7074,39.8,0.004,19.8533
29.0,1,2465,1260008,19.6592,41.1,0.002,19.8315
30.0,0,2550,1303454,19.645,42.6,0.002,19.8429
31.0,1,2635,1346900,19.6303,44.2,0.002,19.8314
32.0,1,2720,1390346,19.6655,45.6,0.002,19.8306
33.0,1,2805,1433792,19.588,47.0,0.001,19.8172
34.0,1,2890,1477238,19.602,48.4,0.001,19.8108
35.0,0,2975,1520684,19.5948,49.7,0.001,19.8138
36.0,0,3060,1564130,19.5917,51.0,0.001,19.8187
37.0,0,3145,1607576,19.5745,52.4,0.001,19.8132
38.0,1,3230,1651022,19.5521,53.8,0.0005,19.8063
39.0,1,3315,1694468,19.5643,55.2,0.0005,19.7989
40.0,1,3400,1737914,19.5746,56.6,0.0005,19.7941
41.0,0,3485,1781360,19.5482,57.9,0.0005,19.7956
42.0,1,3570,1824806,19.555,59.4,0.0005,19.7889
